date,strategy,direction,atm,entry_sp,exit_sp,deviation,vix,pnl_pts,pnl_inr,win
2021-05-18,S1_CALENDAR,SHORT,15100,196.9,194.95,194.99,19.239999771118164,1.95,49.0,True
2021-05-19,S1_CALENDAR,SHORT,15050,196.13,196.08,194.23,19.31999969482422,0.05,1.0,True
2021-05-21,S1_CALENDAR,SHORT,15200,196.02,197.07,194.12,19.07999992370605,-1.05,-26.0,False
2021-05-24,S1_CALENDAR,SHORT,15200,197.07,212.29,195.16,19.1299991607666,-3.0,-75.0,False
2021-05-26,S1_CALENDAR,SHORT,15300,212.4,205.45,210.3,20.8700008392334,4.0,100.0,True
2021-05-27,S1_CALENDAR,SHORT,15350,205.01,186.58,203.0,19.90999984741211,4.0,100.0,True
2021-05-28,S1_CALENDAR,SHORT,15450,186.0,187.71,184.24,17.399999618530273,-1.71,-43.0,False
2021-06-01,S1_CALENDAR,SHORT,15550,188.14,186.72,186.36,17.389999389648438,1.42,35.0,True
2021-06-02,S1_CALENDAR,SHORT,15600,185.96,176.31,184.21,17.209999084472656,4.0,100.0,True
2021-06-03,S1_CALENDAR,SHORT,15700,175.66,176.51,174.05,15.75,-0.85,-21.0,False
2021-06-04,S1_CALENDAR,SHORT,15650,177.47,175.44,175.84,15.9399995803833,2.03,51.0,True
2021-06-07,S1_CALENDAR,SHORT,15750,175.1,171.96,173.5,15.56999969482422,3.14,78.0,True
2021-06-08,S1_CALENDAR,SHORT,15750,171.96,162.78,170.4,15.229999542236328,4.0,100.0,True
2021-06-09,S1_CALENDAR,SHORT,15650,166.81,170.81,165.31,14.75,-3.0,-75.0,False
2021-06-10,S1_CALENDAR,SHORT,15750,170.0,164.25,168.46,15.0,4.0,100.0,True
2021-06-11,S1_CALENDAR,SHORT,15800,163.56,168.99,162.11,14.100000381469728,-3.0,-75.0,False
2021-06-14,S1_CALENDAR,SHORT,15800,168.99,169.16,167.47,14.720000267028809,-0.17,-4.0,False
2021-06-15,S1_CALENDAR,SHORT,15850,168.82,166.85,167.31,14.609999656677246,1.97,49.0,True
2021-06-16,S1_CALENDAR,SHORT,15750,169.83,170.49,168.3,14.869999885559082,-0.66,-16.0,False
2021-06-17,S1_CALENDAR,SHORT,15700,171.95,167.67,170.39,15.289999961853027,4.0,100.0,True
2021-06-18,S1_CALENDAR,SHORT,15700,167.67,171.43,166.16,14.800000190734863,-3.0,-75.0,False
2021-06-21,S1_CALENDAR,SHORT,15750,170.78,168.9,169.23,15.0600004196167,1.88,47.0,True
2021-06-22,S1_CALENDAR,SHORT,15750,168.9,170.94,167.38,14.739999771118164,-2.04,-51.0,False
2021-06-23,S1_CALENDAR,SHORT,15700,172.45,172.18,170.88,15.369999885559082,0.27,7.0,True
2021-06-24,S1_CALENDAR,SHORT,15800,171.45,159.04,169.9,15.100000381469728,4.0,100.0,True
2021-06-25,S1_CALENDAR,SHORT,15850,158.47,157.0,157.09,13.369999885559082,1.47,37.0,True
2021-06-28,S1_CALENDAR,SHORT,15800,158.34,152.41,156.96,13.399999618530272,4.0,100.0,True
2021-06-29,S1_CALENDAR,SHORT,15750,154.09,153.44,152.76,13.0,0.65,16.0,True
2021-06-30,S1_CALENDAR,SHORT,15700,154.71,151.6,153.38,13.050000190734863,3.11,78.0,True
2021-07-01,S1_CALENDAR,SHORT,15700,151.6,147.04,150.3,12.84000015258789,4.0,100.0,True
2021-07-02,S1_CALENDAR,SHORT,15700,147.04,149.52,145.81,12.09000015258789,-2.48,-62.0,False
2021-07-06,S1_CALENDAR,SHORT,15800,149.39,149.92,148.13,12.279999732971191,-0.53,-13.0,False
2021-07-07,S1_CALENDAR,SHORT,15900,148.37,149.61,147.12,12.210000038146973,-1.24,-31.0,False
2021-07-08,S1_CALENDAR,SHORT,15750,157.87,150.96,156.49,13.5600004196167,4.0,100.0,True
2021-07-09,S1_CALENDAR,SHORT,15700,152.8,153.32,151.49,12.9399995803833,-0.52,-13.0,False
2021-07-12,S1_CALENDAR,SHORT,15700,153.32,152.26,152.0,12.989999771118164,1.06,27.0,True
2021-07-13,S1_CALENDAR,SHORT,15800,151.95,152.67,150.66,12.619999885559082,-0.72,-18.0,False
2021-07-14,S1_CALENDAR,SHORT,15850,151.92,150.82,150.63,12.59000015258789,1.1,27.0,True
2021-07-15,S1_CALENDAR,SHORT,15900,150.42,145.88,149.15,12.270000457763672,4.0,100.0,True
2021-07-16,S1_CALENDAR,SHORT,15900,145.88,143.98,144.67,11.710000038146973,1.9,48.0,True
2021-07-19,S1_CALENDAR,SHORT,15750,151.64,149.46,150.35,12.68000030517578,2.18,54.0,True
2021-07-20,S1_CALENDAR,SHORT,15650,154.19,145.02,152.85,13.210000038146973,4.0,100.0,True
2021-07-22,S1_CALENDAR,SHORT,15800,146.42,146.07,145.2,11.890000343322754,0.35,9.0,True
2021-07-23,S1_CALENDAR,SHORT,15850,145.27,149.63,144.07,11.760000228881836,-3.0,-75.0,False
2021-07-26,S1_CALENDAR,SHORT,15800,150.93,154.21,149.65,12.449999809265137,-3.0,-75.0,False
2021-07-27,S1_CALENDAR,SHORT,15750,155.88,158.14,154.53,13.229999542236328,-2.26,-56.0,False
2021-07-28,S1_CALENDAR,SHORT,15700,159.52,154.85,158.12,13.6899995803833,4.0,100.0,True
2021-07-29,S1_CALENDAR,SHORT,15800,153.41,151.49,152.09,12.949999809265137,1.92,48.0,True
2021-07-30,S1_CALENDAR,SHORT,15750,152.94,154.08,151.63,12.800000190734863,-1.14,-29.0,False
2021-08-02,S1_CALENDAR,SHORT,15900,153.51,160.96,152.2,12.8100004196167,-3.0,-75.0,False
2021-08-03,S1_CALENDAR,SHORT,16150,163.61,161.5,162.17,13.75,2.11,53.0,True
2021-08-04,S1_CALENDAR,SHORT,16250,161.08,159.14,159.68,13.210000038146973,1.94,49.0,True
2021-08-05,S1_CALENDAR,SHORT,16300,158.25,153.43,156.89,12.869999885559082,4.0,100.0,True
2021-08-06,S1_CALENDAR,SHORT,16250,155.35,156.07,154.03,12.609999656677246,-0.72,-18.0,False
2021-08-09,S1_CALENDAR,SHORT,16250,156.07,157.5,154.74,12.609999656677246,-1.43,-36.0,False
