date,strategy,atm,straddle,vix,move,be,pnl_pts,pnl_inr,win
2021-05-18,S3_SHORT_STRADDLE,15100,502.16,19.239999771118164,69.8,251.1,251.08,6277.0,True
2021-05-19,S3_SHORT_STRADDLE,15050,500.89,19.31999969482422,125.3,250.4,250.44,6261.0,True
2021-05-21,S3_SHORT_STRADDLE,15200,499.42,19.079999923706055,2.3,249.7,249.71,6243.0,True
2021-05-24,S3_SHORT_STRADDLE,15200,501.87,19.1299991607666,101.5,250.9,250.94,6274.0,True
2021-05-26,S3_SHORT_STRADDLE,15300,551.19,20.8700008392334,37.8,275.6,275.6,6890.0,True
2021-05-27,S3_SHORT_STRADDLE,15350,526.84,19.90999984741211,85.7,263.4,263.42,6586.0,True
2021-05-28,S3_SHORT_STRADDLE,15450,463.45,17.399999618530273,124.8,231.7,231.72,5793.0,True
2021-06-01,S3_SHORT_STRADDLE,15550,469.27,17.389999389648438,26.2,234.6,234.63,5866.0,True
2021-06-02,S3_SHORT_STRADDLE,15600,462.43,17.209999084472656,90.3,231.2,231.22,5780.0,True
2021-06-03,S3_SHORT_STRADDLE,15700,426.68,15.75,29.8,213.3,213.34,5334.0,True
2021-06-04,S3_SHORT_STRADDLE,15650,432.92,15.9399995803833,101.7,216.5,216.46,5412.0,True
2021-06-07,S3_SHORT_STRADDLE,15750,423.97,15.569999694824219,9.9,212.0,211.99,5300.0,True
2021-06-08,S3_SHORT_STRADDLE,15750,413.95,15.229999542236328,114.7,207.0,206.97,5174.0,True
2021-06-09,S3_SHORT_STRADDLE,15650,398.12,14.75,87.8,199.1,199.06,4976.0,True
2021-06-10,S3_SHORT_STRADDLE,15750,407.58,15.0,49.3,203.8,203.79,5095.0,True
2021-06-11,S3_SHORT_STRADDLE,15800,385.26,14.100000381469727,11.8,192.6,192.63,4816.0,True
2021-06-14,S3_SHORT_STRADDLE,15800,403.18,14.720000267028809,69.2,201.6,201.59,5040.0,True
2021-06-15,S3_SHORT_STRADDLE,15850,402.24,14.609999656677246,82.5,201.1,201.12,5028.0,True
