date,strategy,direction,atm,entry,vix,move_pct,pnl_pts,pnl_inr,win
2021-05-21,S4_MOMENTUM,BULL,15200,189.83,19.07999992370605,0.97,2.24,56.0,True
2021-05-26,S4_MOMENTUM,BULL,15300,226.29,20.8700008392334,0.68,3.64,91.0,True
2021-05-28,S4_MOMENTUM,BULL,15450,176.54,17.399999618530273,0.64,8.0,200.0,True
2021-06-01,S4_MOMENTUM,BULL,15550,195.17,17.389999389648438,0.9,0.14,4.0,True
2021-06-03,S4_MOMENTUM,BULL,15700,160.55,15.75,0.73,-2.01,-50.0,False
2021-06-07,S4_MOMENTUM,BULL,15750,163.66,15.56999969482422,0.52,-1.16,-29.0,False
2021-06-09,S4_MOMENTUM,BEAR,15650,122.01,14.75,0.67,-3.0,-75.0,False
2021-06-10,S4_MOMENTUM,BULL,15750,150.21,15.0,0.65,8.0,200.0,True
2021-06-11,S4_MOMENTUM,BULL,15800,143.72,14.100000381469728,0.39,1.25,31.0,True
2021-06-15,S4_MOMENTUM,BULL,15850,159.75,14.609999656677246,0.36,-3.0,-75.0,False
2021-06-16,S4_MOMENTUM,BEAR,15750,113.52,14.869999885559082,0.64,8.0,200.0,True
2021-06-17,S4_MOMENTUM,BEAR,15700,127.24,15.289999961853027,0.48,0.81,20.0,True
2021-06-21,S4_MOMENTUM,BULL,15750,154.66,15.0600004196167,0.4,2.62,66.0,True
2021-06-23,S4_MOMENTUM,BEAR,15700,129.84,15.369999885559082,0.54,-3.0,-75.0,False
2021-06-24,S4_MOMENTUM,BULL,15800,153.35,15.100000381469728,0.66,8.0,200.0,True
2021-06-25,S4_MOMENTUM,BULL,15850,139.2,13.369999885559082,0.44,-3.0,-75.0,False
2021-06-29,S4_MOMENTUM,BEAR,15750,96.73,13.0,0.42,2.7,68.0,True
2021-07-06,S4_MOMENTUM,BULL,15800,127.32,12.279999732971191,0.61,8.0,200.0,True
2021-07-07,S4_MOMENTUM,BULL,15900,111.92,12.210000038146973,0.39,-3.0,-75.0,False
2021-07-08,S4_MOMENTUM,BEAR,15750,110.69,13.5600004196167,0.96,3.81,95.0,True
2021-07-13,S4_MOMENTUM,BULL,15800,129.39,12.619999885559082,0.76,4.16,104.0,True
2021-07-15,S4_MOMENTUM,BULL,15900,130.86,12.270000457763672,0.44,-0.08,-2.0,False
2021-07-19,S4_MOMENTUM,BEAR,15750,91.52,12.68000030517578,1.07,8.0,200.0,True
2021-07-20,S4_MOMENTUM,BEAR,15650,103.87,13.210000038146973,0.76,-3.0,-75.0,False
2021-07-22,S4_MOMENTUM,BULL,15800,124.54,11.890000343322754,1.23,3.2,80.0,True
2021-07-27,S4_MOMENTUM,BEAR,15750,100.23,13.229999542236328,0.49,3.7,92.0,True
2021-07-29,S4_MOMENTUM,BULL,15800,120.03,12.949999809265137,0.44,-1.54,-38.0,False
2021-08-02,S4_MOMENTUM,BULL,15900,122.0,12.8100004196167,0.77,8.0,200.0,True
2021-08-03,S4_MOMENTUM,BULL,16150,135.84,13.75,1.55,8.0,200.0,True
2021-08-04,S4_MOMENTUM,BULL,16250,141.3,13.210000038146973,0.79,3.58,90.0,True
2021-08-06,S4_MOMENTUM,BEAR,16250,99.83,12.609999656677246,0.35,-2.0,-50.0,False
2021-08-12,S4_MOMENTUM,BULL,16350,133.25,12.369999885559082,0.5,8.0,200.0,True
2021-08-13,S4_MOMENTUM,BULL,16550,129.67,12.989999771118164,1.01,3.4,85.0,True
2021-08-17,S4_MOMENTUM,BULL,16600,150.9,13.40999984741211,0.31,-3.0,-75.0,False
2021-08-20,S4_MOMENTUM,BEAR,16450,115.85,14.020000457763672,0.71,-3.0,-75.0,False
2021-08-24,S4_MOMENTUM,BULL,16600,152.14,13.1899995803833,0.78,1.01,25.0,True
2021-08-27,S4_MOMENTUM,BULL,16700,148.12,13.40999984741211,0.41,8.0,200.0,True
2021-08-30,S4_MOMENTUM,BULL,16950,139.89,13.31999969482422,1.35,8.0,200.0,True
2021-08-31,S4_MOMENTUM,BULL,17150,160.13,14.520000457763672,1.19,-3.0,-75.0,False
2021-09-01,S4_MOMENTUM,BEAR,17100,133.52,14.1899995803833,0.33,-3.0,-75.0,False
2021-09-02,S4_MOMENTUM,BULL,17250,158.2,14.239999771118164,0.92,8.0,200.0,True
2021-09-03,S4_MOMENTUM,BULL,17300,180.36,14.539999961853027,0.52,8.0,200.0,True
2021-09-06,S4_MOMENTUM,BULL,17400,170.28,15.109999656677246,0.31,-1.57,-39.0,False
2021-09-15,S4_MOMENTUM,BULL,17500,169.09,13.729999542236328,0.8,8.0,200.0,True
2021-09-16,S4_MOMENTUM,BULL,17650,164.01,14.40999984741211,0.63,-3.0,-75.0,False
2021-09-20,S4_MOMENTUM,BEAR,17400,175.99,17.489999771118164,1.07,-3.0,-75.0,False
2021-09-21,S4_MOMENTUM,BULL,17550,208.34,16.520000457763672,0.95,-1.53,-38.0,False
2021-09-23,S4_MOMENTUM,BULL,17800,218.36,16.600000381469727,1.57,3.03,76.0,True
2021-09-28,S4_MOMENTUM,BEAR,17750,195.41,18.540000915527344,0.6,3.73,93.0,True
2021-09-30,S4_MOMENTUM,BEAR,17600,183.85,18.399999618530277,0.53,8.0,200.0,True
2021-10-01,S4_MOMENTUM,BEAR,17550,179.62,17.209999084472656,0.49,-3.0,-75.0,False
2021-10-04,S4_MOMENTUM,BULL,17700,204.73,16.739999771118164,0.91,8.0,200.0,True
2021-10-05,S4_MOMENTUM,BULL,17800,215.0,16.399999618530273,0.74,-3.0,-75.0,False
2021-10-06,S4_MOMENTUM,BEAR,17650,177.36,17.329999923706055,0.99,-3.0,-75.0,False
2021-10-07,S4_MOMENTUM,BULL,17800,197.07,16.15999984741211,0.82,8.0,200.0,True
2021-10-08,S4_MOMENTUM,BULL,17900,192.9,15.649999618530272,0.59,8.0,200.0,True
2021-10-13,S4_MOMENTUM,BULL,18150,210.86,16.100000381469727,0.94,8.0,200.0,True
2021-10-14,S4_MOMENTUM,BULL,18350,198.36,15.770000457763672,0.97,8.0,200.0,True
2021-10-18,S4_MOMENTUM,BULL,18500,217.74,17.18000030517578,0.76,-3.0,-75.0,False
2021-10-19,S4_MOMENTUM,BEAR,18400,179.56,17.3799991607666,0.32,8.0,200.0,True
2021-10-20,S4_MOMENTUM,BEAR,18250,192.27,18.309999465942383,0.83,8.0,200.0,True
2021-10-21,S4_MOMENTUM,BEAR,18200,202.31,18.040000915527344,0.48,8.0,200.0,True
2021-10-22,S4_MOMENTUM,BEAR,18100,179.52,17.549999237060547,0.35,-1.05,-26.0,False
2021-10-26,S4_MOMENTUM,BULL,18250,225.56,16.75,0.79,-3.0,-75.0,False
2021-10-27,S4_MOMENTUM,BEAR,18200,171.61,16.829999923706055,0.31,8.0,200.0,True
2021-10-28,S4_MOMENTUM,BEAR,17850,184.29,17.90999984741211,1.94,8.0,200.0,True
2021-10-29,S4_MOMENTUM,BEAR,17650,169.29,17.43000030517578,1.04,-3.0,-75.0,False
2021-11-01,S4_MOMENTUM,BULL,17950,211.14,17.239999771118164,1.46,-3.0,-75.0,False
